Nombre científico ;Nombre común ;Familia 
Cordia eriostigma Pittier ;Laurel , Laurel muñeco , Muñeco ;Boraginaceae 
Cordia gerascanthus L. ;Akywí , Laurel mastate , Laurel negro , Muñeco blanco , Yawé , Yuwë ;Boraginaceae 
Cordia lucida I. M. Johnst. ;Laurel ;Boraginaceae 
Cordia megalantha S. F. Blake ;Laurel , Laurel amarillo Mastate ;Boraginaceae 
Cordyline fruticosa (L.) A. Chev. ;Caña de indio ;Asteliaceae 
Cornus disciflora DC. ;Lloró Llorón ;Cornaceae 
Corypha umbraculifera L. ;Palma talipot ;Arecaceae 
Couma macrocarpa Barb. Rodr. ;Baco , Leche de vaca ;Apocynaceae 
Couratari guianensis Aubl. ;Amarillón , Burillón , Cachimbo , Cachimbo hediondo , Campano blanco , Copo hediondo , Tinajito ;Lecythidaceae 
Couratari scottmorii Prance ;Cachimbo , Copo hediondo Matasano ;Lecythidaceae 
Couropita guianensis Aubl. ;Bala de cañón ;Lecythidaceae 
Couropita nicaraguensis DC. ;Bala de cañón , Zapote de concha , Zapote de mico ;Lecythidaceae 
Coussapoa villosa Poepp. & Endl. ;Montano ;Cecropiaceae 
Crateva tapia palmira Rose ;Ajillo , Manglillo , Muñeco , Tres dedos ;Capparidaceae 
Crescentia alata Kunth ;Jícara  , Jicarillo , Jícaro , Jícaro sabanero , Me , Raspaguacal , Sacaguacal ;Bignoniaceae 
Crescentia cujete L. ;Calabacero , Calabazo , Carito , Guacal , Jicaro , Jícaro , Jícaro de monte , Me , Melón Nambino , Raspaguacal ;Bignoniaceae 
Crescentia cujete L. ;Sacaguacal Tiquí ;Bignoniaceae 
Croton draco Cham. & Schltdl. ;Targuá , Tataraguá ;Euphorbiaceae 
Croton niveus Jacq. ;Colpachí , Copachí , Corpachí ;Euphorbiaceae 
Croton schiedeanus Schltdl. ;Colpachí Copalchí  ;Euphorbiaceae 
Croton smithianus Croizat ;Algodoncillo Balsilla ;Euphorbiaceae 
Croton spp ;Targuá ;Euphorbiaceae 
Cryosophila guagara P. H. Allen ;Guágara ;Arecaceae 
Cryosophila warscewicsii (H. Wendl.) Burret ;Palmera de escoba ;Arecaceae 
Cupania glabra Sw. ;Carne asada , Cascua , Cascuá , Güecillo , Tres huevos ;Sapindaceae 
Cupania guatemalensis (Turcz.) Radlk. ;Cantarillo , Carne asada , Cotorrera , Huesillo , Manteco , Pozodillo  , Tarsana ;Sapindaceae 
Cupressus lusitanica Mill. ;Ciprés  , Ciprés mexicano ;Cupressaceae 
